Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-13 09:15:00+05:30,76059.7421875,76322.78125,75874.109375,76065.2578125,0,0.0,0.0
2026-04-13 09:30:00+05:30,76065.953125,76209.9296875,75990.953125,76170.6484375,0,0.0,0.0
2026-04-13 09:45:00+05:30,76168.75,76286.0,76111.15625,76268.1171875,0,0.0,0.0
2026-04-13 10:00:00+05:30,76268.3515625,76321.4921875,76229.890625,76249.953125,0,0.0,0.0
2026-04-13 10:15:00+05:30,76247.46875,76475.390625,76181.8125,76445.84375,0,0.0,0.0
2026-04-13 10:30:00+05:30,76446.2109375,76503.34375,76379.9375,76482.2109375,0,0.0,0.0
2026-04-13 10:45:00+05:30,76483.84375,76559.21875,76462.1328125,76474.171875,0,0.0,0.0
2026-04-13 11:00:00+05:30,76473.59375,76522.2265625,76457.3984375,76489.40625,0,0.0,0.0
2026-04-13 11:15:00+05:30,76487.140625,76543.1796875,76444.7734375,76478.25,0,0.0,0.0
2026-04-13 11:30:00+05:30,76481.6875,76582.8984375,76447.7421875,76529.15625,0,0.0,0.0
2026-04-13 11:45:00+05:30,76530.0,76710.6796875,76526.453125,76642.9296875,0,0.0,0.0
2026-04-13 12:00:00+05:30,76641.921875,76730.75,76629.546875,76721.6484375,0,0.0,0.0
2026-04-13 12:15:00+05:30,76722.0703125,76794.53125,76666.0703125,76788.8125,0,0.0,0.0
2026-04-13 12:30:00+05:30,76789.421875,76826.3828125,76748.40625,76816.2421875,0,0.0,0.0
2026-04-13 12:45:00+05:30,76816.6328125,76838.109375,76626.21875,76697.28125,0,0.0,0.0
2026-04-13 13:00:00+05:30,76696.140625,76755.578125,76601.53125,76740.078125,0,0.0,0.0
2026-04-13 13:15:00+05:30,76740.078125,76808.9296875,76710.6328125,76781.1484375,0,0.0,0.0
2026-04-13 13:30:00+05:30,76773.7734375,76885.953125,76773.7734375,76827.7265625,0,0.0,0.0
2026-04-13 13:45:00+05:30,76827.390625,77063.40625,76809.9609375,77025.546875,0,0.0,0.0
2026-04-13 14:00:00+05:30,77024.609375,77032.7265625,76843.4921875,76902.6015625,0,0.0,0.0
