Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-13 09:15:00+05:30,54697.75,54825.55078125,54364.5,54614.44921875,0,0.0,0.0
2026-04-13 09:30:00+05:30,54608.5,54691.19921875,54510.3984375,54677.6015625,0,0.0,0.0
2026-04-13 09:45:00+05:30,54679.0,54789.3515625,54624.44921875,54753.19921875,0,0.0,0.0
2026-04-13 10:00:00+05:30,54755.6484375,54806.05078125,54708.55078125,54741.0,0,0.0,0.0
2026-04-13 10:15:00+05:30,54743.75,54942.25,54669.55078125,54903.1015625,0,0.0,0.0
2026-04-13 10:30:00+05:30,54902.44921875,54939.3984375,54807.6015625,54911.3515625,0,0.0,0.0
2026-04-13 10:45:00+05:30,54909.5,55018.69921875,54902.05078125,54964.3515625,0,0.0,0.0
2026-04-13 11:00:00+05:30,54960.8515625,54978.6484375,54889.94921875,54954.05078125,0,0.0,0.0
2026-04-13 11:15:00+05:30,54953.19921875,54979.25,54898.8515625,54908.05078125,0,0.0,0.0
2026-04-13 11:30:00+05:30,54911.1484375,55012.5,54882.55078125,54953.55078125,0,0.0,0.0
2026-04-13 11:45:00+05:30,54955.44921875,55131.19921875,54948.05078125,55073.25,0,0.0,0.0
2026-04-13 12:00:00+05:30,55075.6484375,55213.0,55075.6484375,55209.80078125,0,0.0,0.0
2026-04-13 12:15:00+05:30,55208.8515625,55369.0,55201.05078125,55368.5,0,0.0,0.0
2026-04-13 12:30:00+05:30,55371.05078125,55434.1484375,55326.5,55428.05078125,0,0.0,0.0
2026-04-13 12:45:00+05:30,55428.5,55442.94921875,55246.30078125,55310.8515625,0,0.0,0.0
2026-04-13 13:00:00+05:30,55312.94921875,55394.0,55230.44921875,55391.30078125,0,0.0,0.0
2026-04-13 13:15:00+05:30,55394.8515625,55448.3984375,55365.0,55403.6484375,0,0.0,0.0
2026-04-13 13:30:00+05:30,55407.05078125,55549.19921875,55407.05078125,55492.30078125,0,0.0,0.0
2026-04-13 13:45:00+05:30,55498.3515625,55749.6484375,55469.6484375,55699.44921875,0,0.0,0.0
2026-04-13 14:00:00+05:30,55700.19921875,55717.1484375,55520.3984375,55575.0,0,0.0,0.0
2026-04-13 14:15:00+05:30,55583.1484375,55664.44921875,55527.0,55635.1484375,0,0.0,0.0
2026-04-13 14:30:00+05:30,55635.44921875,55737.05078125,55613.55078125,55647.05078125,0,0.0,0.0
2026-04-13 14:45:00+05:30,55647.94921875,55707.8984375,55625.8984375,55673.0,0,0.0,0.0
2026-04-13 15:00:00+05:30,55674.55078125,55702.44921875,55524.94921875,55639.3984375,0,0.0,0.0
2026-04-13 15:15:00+05:30,55640.6015625,55644.75,55540.75,55571.8515625,0,0.0,0.0
2026-04-15 09:15:00+05:30,56373.0,56781.75,56373.0,56490.30078125,0,0.0,0.0
2026-04-15 09:30:00+05:30,56492.05078125,56498.5,56311.94921875,56448.6484375,0,0.0,0.0
2026-04-15 09:45:00+05:30,56447.05078125,56493.8984375,56339.6015625,56447.1484375,0,0.0,0.0
2026-04-15 10:00:00+05:30,56445.6015625,56555.6015625,56410.30078125,56503.1015625,0,0.0,0.0
2026-04-15 10:15:00+05:30,56502.69921875,56622.0,56502.69921875,56537.3984375,0,0.0,0.0
2026-04-15 10:30:00+05:30,56542.25,56583.44921875,56400.0,56418.6015625,0,0.0,0.0
2026-04-15 10:45:00+05:30,56419.44921875,56453.6484375,56315.6015625,56329.1015625,0,0.0,0.0
2026-04-15 11:00:00+05:30,56333.25,56333.25,56142.80078125,56143.30078125,0,0.0,0.0
2026-04-15 11:15:00+05:30,56143.6484375,56229.19921875,56109.19921875,56155.05078125,0,0.0,0.0
2026-04-15 11:30:00+05:30,56155.1484375,56244.30078125,56142.25,56224.3984375,0,0.0,0.0
2026-04-15 11:45:00+05:30,56225.19921875,56313.8984375,56192.1015625,56253.8984375,0,0.0,0.0
2026-04-15 12:00:00+05:30,56254.55078125,56357.0,56254.55078125,56326.5,0,0.0,0.0
2026-04-15 12:15:00+05:30,56326.05078125,56345.8984375,56221.0,56272.3984375,0,0.0,0.0
2026-04-15 12:30:00+05:30,56270.19921875,56276.8984375,56196.19921875,56244.6484375,0,0.0,0.0
2026-04-15 12:45:00+05:30,56247.44921875,56274.05078125,56172.0,56193.6484375,0,0.0,0.0
2026-04-15 13:00:00+05:30,56193.6484375,56290.5,56177.8515625,56288.55078125,0,0.0,0.0
2026-04-15 13:15:00+05:30,56291.6015625,56349.8984375,56231.0,56232.19921875,0,0.0,0.0
2026-04-15 13:30:00+05:30,56232.30078125,56304.19921875,56210.80078125,56280.55078125,0,0.0,0.0
2026-04-15 13:45:00+05:30,56282.1484375,56289.80078125,56210.05078125,56277.05078125,0,0.0,0.0
2026-04-15 14:00:00+05:30,56274.5,56337.3984375,56268.44921875,56293.8515625,0,0.0,0.0
2026-04-15 14:15:00+05:30,56291.8515625,56348.1484375,56267.75,56316.30078125,0,0.0,0.0
2026-04-15 14:30:00+05:30,56316.19921875,56328.94921875,56249.8984375,56326.69921875,0,0.0,0.0
2026-04-15 14:45:00+05:30,56321.3984375,56430.8984375,56318.19921875,56394.19921875,0,0.0,0.0
2026-04-15 15:00:00+05:30,56408.1484375,56411.6484375,56290.94921875,56291.30078125,0,0.0,0.0
2026-04-15 15:15:00+05:30,56297.3515625,56300.94921875,56223.6015625,56258.8515625,0,0.0,0.0
2026-04-16 09:15:00+05:30,56657.25,56832.8984375,56525.75,56729.55078125,0,0.0,0.0
2026-04-16 09:30:00+05:30,56730.19921875,56754.25,56494.8984375,56507.0,0,0.0,0.0
2026-04-16 09:45:00+05:30,56509.25,56611.0,56456.8984375,56457.0,0,0.0,0.0
2026-04-16 10:00:00+05:30,56456.3515625,56615.5,56445.5,56603.3515625,0,0.0,0.0
2026-04-16 10:15:00+05:30,56604.94921875,56636.19921875,56513.75,56539.3984375,0,0.0,0.0
2026-04-16 10:30:00+05:30,56540.1484375,56592.30078125,56491.3515625,56554.69921875,0,0.0,0.0
2026-04-16 10:45:00+05:30,56555.05078125,56615.94921875,56550.19921875,56571.3984375,0,0.0,0.0
2026-04-16 11:00:00+05:30,56572.25,56623.94921875,56498.69921875,56535.8984375,0,0.0,0.0
2026-04-16 11:15:00+05:30,56536.3984375,56574.3984375,56397.1484375,56439.1484375,0,0.0,0.0
2026-04-16 11:30:00+05:30,56440.25,56461.1015625,56316.69921875,56332.3515625,0,0.0,0.0
2026-04-16 11:45:00+05:30,56326.3984375,56326.3984375,56124.80078125,56135.0,0,0.0,0.0
2026-04-16 12:00:00+05:30,56141.69921875,56150.19921875,56055.3515625,56146.19921875,0,0.0,0.0
2026-04-16 12:15:00+05:30,56140.8515625,56162.1015625,56011.0,56052.8984375,0,0.0,0.0
2026-04-16 12:30:00+05:30,56050.0,56078.19921875,55972.6484375,55998.3515625,0,0.0,0.0
2026-04-16 12:45:00+05:30,56000.05078125,56022.55078125,55903.3515625,55974.75,0,0.0,0.0
2026-04-16 13:00:00+05:30,55976.44921875,56039.0,55900.44921875,55936.69921875,0,0.0,0.0
2026-04-16 13:15:00+05:30,55939.19921875,56012.55078125,55912.25,55944.8515625,0,0.0,0.0
2026-04-16 13:30:00+05:30,55946.3984375,56041.3984375,55942.5,56035.05078125,0,0.0,0.0
2026-04-16 13:45:00+05:30,56032.1015625,56172.30078125,56030.05078125,56140.55078125,0,0.0,0.0
2026-04-16 14:00:00+05:30,56142.6015625,56147.8984375,56021.1484375,56100.44921875,0,0.0,0.0
2026-04-16 14:15:00+05:30,56101.8984375,56164.8515625,56073.0,56163.69921875,0,0.0,0.0
2026-04-16 14:30:00+05:30,56165.1015625,56299.30078125,56162.8984375,56256.44921875,0,0.0,0.0
2026-04-16 14:45:00+05:30,56259.44921875,56324.0,56229.6015625,56244.44921875,0,0.0,0.0
2026-04-16 15:00:00+05:30,56252.5,56267.6484375,56018.6484375,56069.0,0,0.0,0.0
2026-04-16 15:15:00+05:30,56068.6015625,56089.1484375,55998.55078125,56036.3984375,0,0.0,0.0
2026-04-17 09:15:00+05:30,56098.1015625,56209.30078125,55853.6484375,56177.8984375,0,0.0,0.0
2026-04-17 09:30:00+05:30,56179.6484375,56225.8515625,56056.80078125,56069.3515625,0,0.0,0.0
2026-04-17 09:45:00+05:30,56069.94921875,56183.8984375,56067.3984375,56134.19921875,0,0.0,0.0
2026-04-17 10:00:00+05:30,56131.75,56266.8515625,56054.69921875,56207.8515625,0,0.0,0.0
2026-04-17 10:15:00+05:30,56211.19921875,56307.80078125,56209.80078125,56256.25,0,0.0,0.0
2026-04-17 10:30:00+05:30,56252.55078125,56273.1484375,56152.8515625,56162.3515625,0,0.0,0.0
