Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-04-13 09:15:00+05:30,23619.05078125,23693.69921875,23556.150390625,23604.69921875,0,0.0,0.0
2026-04-13 09:30:00+05:30,23604.30078125,23644.0,23580.349609375,23633.5,0,0.0,0.0
2026-04-13 09:45:00+05:30,23634.30078125,23680.400390625,23612.44921875,23669.05078125,0,0.0,0.0
2026-04-13 10:00:00+05:30,23668.80078125,23682.650390625,23653.150390625,23660.05078125,0,0.0,0.0
2026-04-13 10:15:00+05:30,23655.5,23732.05078125,23634.05078125,23721.5,0,0.0,0.0
2026-04-13 10:30:00+05:30,23721.80078125,23738.25,23696.30078125,23723.55078125,0,0.0,0.0
2026-04-13 10:45:00+05:30,23723.19921875,23757.650390625,23721.849609375,23740.0,0,0.0,0.0
2026-04-13 11:00:00+05:30,23737.44921875,23752.30078125,23730.400390625,23743.69921875,0,0.0,0.0
2026-04-13 11:15:00+05:30,23743.75,23762.75,23731.099609375,23740.5,0,0.0,0.0
2026-04-13 11:30:00+05:30,23740.650390625,23772.099609375,23729.400390625,23756.150390625,0,0.0,0.0
2026-04-13 11:45:00+05:30,23756.75,23810.80078125,23754.599609375,23785.650390625,0,0.0,0.0
2026-04-13 12:00:00+05:30,23785.94921875,23816.099609375,23785.44921875,23814.599609375,0,0.0,0.0
2026-04-13 12:15:00+05:30,23814.69921875,23836.5,23796.0,23835.94921875,0,0.0,0.0
2026-04-13 12:30:00+05:30,23837.599609375,23847.099609375,23821.5,23841.349609375,0,0.0,0.0
2026-04-13 12:45:00+05:30,23842.150390625,23845.69921875,23780.900390625,23806.44921875,0,0.0,0.0
2026-04-13 13:00:00+05:30,23806.80078125,23822.400390625,23771.75,23820.650390625,0,0.0,0.0
2026-04-13 13:15:00+05:30,23821.25,23839.80078125,23805.25,23823.400390625,0,0.0,0.0
2026-04-13 13:30:00+05:30,23824.55078125,23856.5,23822.900390625,23835.44921875,0,0.0,0.0
2026-04-13 13:45:00+05:30,23835.849609375,23905.650390625,23831.900390625,23893.69921875,0,0.0,0.0
2026-04-13 14:00:00+05:30,23893.05078125,23897.30078125,23835.19921875,23854.5,0,0.0,0.0
2026-04-13 14:15:00+05:30,23854.75,23881.650390625,23834.599609375,23866.05078125,0,0.0,0.0
2026-04-13 14:30:00+05:30,23865.44921875,23897.44921875,23855.75,23866.349609375,0,0.0,0.0
2026-04-13 14:45:00+05:30,23866.05078125,23897.400390625,23854.599609375,23883.69921875,0,0.0,0.0
2026-04-13 15:00:00+05:30,23884.94921875,23888.19921875,23822.25,23845.400390625,0,0.0,0.0
2026-04-13 15:15:00+05:30,23843.650390625,23847.0,23814.650390625,23818.900390625,0,0.0,0.0
2026-04-15 09:15:00+05:30,24166.099609375,24266.69921875,24166.099609375,24192.44921875,0,0.0,0.0
